0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46123 15123	9	 * 	298.86	DCR|3VULN|3DMG|2DUR|3LIT	126LIT|279BPWR|379VULN|4AART|579DMG|89DUR|aRCR
2	22123 61121	3	 * 	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aTLV
3	22214 61121	3	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
4	22623 61121	2	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aTLV
5	34123 61121	3	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aTLV
6	34214 61121	3	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	138VULN|268DUR|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
7	34623 61121	2	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aTLV
8	35623 61121	1	   	296.61	DCR|3VULN|3DUR|2DMG|1TLV|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aTLV
9	22213 21122	3	 * 	289.63	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	18DUR|2358VULN|4CDMG|6CGEN|78DMG|8BPWR|9SELL|aRCR
10	34213 21122	3	 * 	289.63	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1358VULN|28DUR|4CDMG|6CGEN|78DMG|8BPWR|9SELL|aRCR
11	34213 41122	3	 * 	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1358VULN|28DUR|4CDMG|6ERES|78DMG|8BPWR|9SELL|aRCR
12	22213 41122	3	 * 	289.53	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	18DUR|2358VULN|4CDMG|6ERES|78DMG|8BPWR|9SELL|aRCR
13	22262 11422	6	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	156DUR|236aVULN|4SELL|6aBPWR|7aDMG|8aBEXP|9RCR
14	22262 11622	6	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	156DUR|236aVULN|4SELL|6aBPWR|7aDMG|8aLWND|9RCR
15	22262 13422	8	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	156DUR|236aVULN|4SELL|6aBPWR|7aBEXP|8aDMG|9RCR
16	34262 11422	6	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	136aVULN|256DUR|4SELL|6aBPWR|7aDMG|8aBEXP|9RCR
17	34262 11622	6	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	136aVULN|256DUR|4SELL|6aBPWR|7aDMG|8aLWND|9RCR
18	34262 13422	8	 * 	289.31	DCR|4VULN|3DUR|2DMG|1SELL	136aVULN|256DUR|4SELL|6aBPWR|7aBEXP|8aDMG|9RCR
19	22262 11143	6	 * 	289.21	DCR|4VULN|3DUR|2DMG|1SELL	156DUR|2369VULN|4SELL|69BPWR|79DMG|8RMIN|aRCR
20	34262 11143	6	 * 	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1369VULN|256DUR|4SELL|69BPWR|79DMG|8RMIN|aRCR
21	22123 61123	3	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aLIT
22	22214 61123	3	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aLIT
23	22623 61123	2	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aLIT
24	34123 61123	3	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aLIT
25	34214 61123	3	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	138VULN|268DUR|4CDMG|5ERES|78DMG|8BPWR|9RCR|aLIT
26	34623 61123	2	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aLIT
27	35623 61123	1	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aLIT
28	36123 61122	4	 * 	286.95	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG|1SELL	158VULN|28TLV|3CDMG|46DUR|78DMG|8BPWR|9SELL|aRCR
29	36133 61122	3	 * 	286.95	DCR|3VULN|2DMG|2DUR|2TLV|1CDMG|1SELL	158VULN|28TLV|3CDMG|46DUR|78DMG|8BPWR|9SELL|aRCR
30	23262 62222	4	 * 	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	156DUR|2aCDMG|3BEXP|4aDMG|78aVULN|9RCR|aBPWR
31	25311 36134	3	 * 	285.01	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	17DUR|27ASPD|3TLV|4CDMG|57aVULN|6AART|7BPWR|8LIT|9RCR
32	33242 35351	1	 * 	282.81	DCR|4VULN|3DUR|1TLV|2LIT	139aVULN|2aLIT|4ERES|5TLV|68aDUR|7RCR|aBPWR
33	36111 11122	6	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1SELL	1468VULN|2TLV|38CDMG|5LEGI|78DMG|8BPWR|9SELL|aRCR
34	32541 11122	6	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1SELL	1268VULN|3TLV|48CDMG|5LEGI|78DMG|8BPWR|9SELL|aRCR
35	36641 11122	6	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1SELL	1368VULN|2TLV|48CDMG|5LEGI|78DMG|8BPWR|9SELL|aRCR
36	31652 61233	3	 * 	281.11	DCR|4VULN|3DMG|2CDMG	156aVULN|2LHND|3aLWND|457DMG|5aBPWR|8aCDMG|9RCR
37	13332 62222	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	1aBEXP|2CDMG|3aDMG|456DUR|78aVULN|9RCR|aBPWR
38	13562 62222	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	1aBEXP|2CDMG|356DUR|4aDMG|78aVULN|9RCR|aBPWR
39	22123 61124	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aFEWX
40	22123 61125	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aMLV
41	22123 61126	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aRPLT
42	22214 61124	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aFEWX
43	22214 61125	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aMLV
44	22214 61126	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aRPLT
45	22623 61124	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aFEWX
46	22623 61125	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aMLV
47	22623 61126	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aRPLT
48	34123 61124	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aFEWX
49	34123 61125	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aMLV
50	34123 61126	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aRPLT
51	22123 61122	3	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aDUST
52	22214 61122	3	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|238VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aDUST
53	22623 61122	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	168DUR|258VULN|3ERES|4CDMG|78DMG|8BPWR|9RCR|aDUST
54	34123 61122	3	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aDUST
55	34214 61122	3	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	138VULN|268DUR|4CDMG|5ERES|78DMG|8BPWR|9RCR|aDUST
56	34623 61122	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aDUST
57	35623 61122	1	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	158VULN|268DUR|3ERES|4CDMG|78DMG|8BPWR|9RCR|aDUST
58	32545 11122	6	 * 	278.76	DCR|4VULN|2DMG|2TLV|1CDMG|1SELL	1268VULN|38TLV|4CDMG|5LWND|78DMG|8BPWR|9SELL|aRCR
59	36115 11122	6	 * 	278.76	DCR|4VULN|2DMG|2TLV|1CDMG|1SELL	1468VULN|28TLV|3CDMG|5LWND|78DMG|8BPWR|9SELL|aRCR
60	23313 61121	4	   	276.11	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	168DUR|28CDMG|3CGEN|45VULN|78DMG|8BPWR|9RCR|aTLV
61	23323 61121	3	   	276.11	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	168DUR|28CDMG|3CGEN|45VULN|78DMG|8BPWR|9RCR|aTLV
62	23113 61121	4	   	276.01	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	168DUR|28CDMG|3ERES|45VULN|78DMG|8BPWR|9RCR|aTLV
63	23143 61121	3	   	276.01	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	168DUR|28CDMG|3ERES|45VULN|78DMG|8BPWR|9RCR|aTLV
64	23243 61121	2	   	276.01	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	168DUR|28CDMG|3ERES|45VULN|78DMG|8BPWR|9RCR|aTLV
65	22111 52626	10	   	273.99	DCR|4VULN|2DUR|2LIT|1ASPD	17DUR|2789VULN|3ERES|4ASPD|5AART|67LIT|7BPWR|aRCR
66	52221 14633	4	   	273.65	DCR|3VULN|2DMG|2DUR|2CDMG	1RPLT|25aVULN|35DUR|49DMSP|5aBPWR|6aCDMG|7RCR|8aDMG
