0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64213 24333	7	 * 	280.61	DCR|3VULN|3DMG|3CDMG|1DUR|1SELL	178DMG|2RMIN|3CGEN|478VULN|5SELL|678CDMG|78BPWR|9DUR|aRCR
2	66332 36113	8	 * 	280.48	DCR|5VULN|3DMG	18aDMG|2468aVULN|38aDUST|5RCVC|7RMIN|8aBPWR|9RCR
3	66431 34334	7	   	278.48	DCR|5VULN|2DMG|1CDMG	18DMG|24678VULN|3MBVNT|58MLV|8BPWR|9CDMG|aRCR
4	62122 36613	2	 * 	278.24	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|245MLV|349VULN|49BPWR|6LIT|7TLV|89DUR|aRCR
5	62124 21311	1	 * 	276.32	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aFEWX
6	62124 21312	1	   	276.32	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aLHND
7	62124 21313	1	   	276.32	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aLWND
8	62124 21314	1	   	276.32	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aRPLT
9	62124 21316	1	   	276.32	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aBEXP
10	62124 21315	1	   	276.22	DCR|4VULN|2DMG|2DUR	18DMG|246CGEN|3458VULN|48BPWR|78DUR|9RCR|aDUST
11	63441 13446	3	 * 	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	168DMG|2LHND|3MBVNT|48ASPD|568VULN|68BPWR|7RCVC|9RCR|aDUR
12	63541 13446	2	   	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	168DMG|2LHND|3MBVNT|48ASPD|568VULN|68BPWR|7RCVC|9RCR|aDUR
13	66432 41143	8	   	275.77	DCR|3VULN|3DMG|2ASPD|1DUR	168DMG|248VULN|3MBVNT|5RCVC|78ASPD|8BPWR|9DUR|aRCR
14	63133 13463	1	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2RMIN|349VULN|5CDMG|6FEWX|7RCR|89DUR|9BPWR|aLIT
15	14323 53262	1	 * 	275.41	DCR|3VULN|3DMG|3CDMG|1ASPD	19aCDMG|269VULN|3FEWX|4ASPD|569DMG|69BPWR|7RCR|8TBNT
16	66122 12216	10	   	275.29	DCR|4VULN|2DMG|1DUR|1CDMG	1aDMG|257aVULN|3CDMG|4DUR|6RMIN|8aBEXP|9RCR|aBPWR
17	65122 22623	6	   	274.07	DCR|3VULN|3DMG|3CDMG|1AART	168DMG|2FEWX|38aCDMG|4AART|578VULN|8BPWR|9RCR
18	65122 23623	7	   	274.07	DCR|3VULN|3DMG|3CDMG|1AART	168DMG|2FEWX|38aCDMG|4AART|578VULN|8BPWR|9RCR
19	66123 51112	4	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|268VULN|3CDMG|4DUR|56ASPD|6BPWR|9RCR|aCGEN
20	66123 51113	4	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	17DMG|268VULN|3CDMG|4DUR|56ASPD|6BPWR|9RCR|aLHND
21	66431 44114	4	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DMG|2468VULN|3MBVNT|5TLV|7CDMG|9RCR|aDUR
22	66123 53331	4	 * 	273.33	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV|1CDMG	1DMG|26VULN|3CDMG|49aDUR|56ASPD|6BPWR|7RCR|8TLV
23	65421 33312	1	 * 	269.97	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	18DMG|248VULN|34TLV|48BPWR|5BBNT|6DUR|78BEXP|9ASPD|aRCR
24	66421 33312	2	   	269.97	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	18DMG|248VULN|34TLV|48BPWR|5BBNT|6DUR|78BEXP|9ASPD|aRCR
25	14323 53263	1	   	269.37	DCR|3VULN|3DMG|2CDMG|1ASPD	19CDMG|269VULN|3FEWX|4ASPD|569DMG|69BPWR|7RCR|8TBNT|aRCVC
26	14323 53261	1	   	269.27	DCR|3VULN|3DMG|2CDMG|1ASPD	19CDMG|269VULN|3FEWX|4ASPD|569DMG|69BPWR|7RCR|8TBNT|aLEGI
27	66332 31113	8	 * 	269.04	DCR|3VULN|3DMG|3ASPD	18aDMG|246VULN|38aDUST|5RCVC|78aASPD|8aBPWR|9RCR
28	66123 53332	4	   	268.41	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1DMG|26VULN|3CDMG|49DUR|56ASPD|6BPWR|7RCR|8TLV|aLIT
29	61422 22623	6	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	168DMG|2aCDMG|38FEWX|4AART|578VULN|8BPWR|9RCR
30	61422 23623	7	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	168DMG|2aCDMG|38FEWX|4AART|578VULN|8BPWR|9RCR
31	15423 34122	10	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1aCDMG|28aDMG|3FEWX|4AART|5BEXP|69aVULN|7RCR|aBPWR
32	23111 23364	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RPLT|2AART|3aCDMG|4BEXP|56aDMG|79aVULN|8RCR|aBPWR
33	23121 23264	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RPLT|2AART|3aCDMG|4LHND|56aDMG|7RCR|89aVULN|aBPWR
34	61423 34122	10	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	18aDMG|2aCDMG|3FEWX|4AART|5BEXP|69aVULN|7RCR|aBPWR
35	65122 22622	6	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	168DMG|2FEWX|38CDMG|4AART|578VULN|8BPWR|9RCR|aBBNT
