0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33633 62413	2	 * 	290.55	DCR|4VULN|3DUR|2DMG|1CDMG	167DUR|2LWND|347aVULN|57DMG|7BPWR|8CDMG|9RCR
2	33262 34523	1	 * 	289.50	DCR|2VULN|3DMG|3DUR|2TLV	169DUR|259DMG|35TLV|4RMIN|59BPWR|7ASPD|89VULN|aRCR
3	34116 62443	1	 * 	288.04	DCR|3VULN|3DUR|1TLV|3ASPD|2CDMG	179DUR|2MBVNT|39CDMG|479VULN|567ASPD|79BPWR|8RCR|aTLV
4	33423 32143	1	   	281.29	DCR|2VULN|3DMG|3DUR|2TLV	157DUR|27aDMG|3aLHND|4MLV|67TLV|7aBPWR|8aVULN|9RCR
5	33633 62122	2	   	276.80	DCR|4VULN|3DUR|2DMG	167DUR|2LWND|3478VULN|57DMG|7BPWR|9DUST|aRCR
6	32153 52433	6	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	13DUR|2DMSP|489aVULN|5TLV|6RCR|7DMG
7	25632 12512	1	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	17BEXP|278DUR|34VULN|5CDMG|67DMG|7BPWR|9RCR|aTLV
8	34112 23536	1	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18aDUR|2MBVNT|3CDMG|4aVULN|5LHND|6RCR|7TLV|9aDMG|aBPWR
9	34113 23536	1	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18aDUR|2MBVNT|3CDMG|4aVULN|5LWND|6RCR|7TLV|9aDMG|aBPWR
10	33633 62411	2	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	167DUR|2LWND|347VULN|57DMG|7BPWR|8CDMG|9RCR|aBEXP
11	12632 12513	1	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	17LHND|278DUR|34aVULN|5CDMG|67DMG|7BPWR|9RCR
12	33632 12513	2	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	178DUR|27LWND|34aVULN|5CDMG|67DMG|7BPWR|9RCR
13	33633 62412	2	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	167DUR|2LWND|347VULN|57DMG|7BPWR|8CDMG|9RCR|aDUST
14	36252 42131	8	 * 	268.98	DCR|3VULN|2TLV|2DUR|1DMG|1AART	19DUR|29TLV|3CGEN|4AART|5DMG|6RCR|7RCVC|89aVULN|9BPWR
15	33232 16453	1	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|29DMG|3TLV|46FEWX|5DMSP|7RCR|89aVULN|9BPWR
16	33232 26453	1	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|29DMG|3TLV|4FEWX|56DMSP|7RCR|89aVULN|9BPWR
17	33633 24362	3	 * 	268.76	ACR|4VULN|3DMG|3DUR	19aDUR|2LWND|3RCR|459aVULN|6FEWX|7LIT|89aDMG|9aBPWR
