0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12344 33532	8	 * 	298.07	DCR|4VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|3589VULN|4BEXP|6LHND|789DUR|89BPWR|aRCR
2	26122 11226	2	 * 	295.66	DCR|5VULN|2DMG|2DUR	1458aVULN|2RCVC|38DUR|68aDUST|7RCR|8aBPWR|9aDMG
3	24122 11326	1	   	295.56	DCR|5VULN|2DMG|2DUR	1245aVULN|38DUR|6aDUST|7RCR|9aDMG|aBPWR
4	26521 33513	1	 * 	291.78	DCR|4VULN|3DMG|2DUR	1467VULN|267DMG|3BBNT|5RCVC|67BPWR|89DUR|aRCR
5	24322 33513	1	   	291.78	DCR|4VULN|3DMG|2DUR	1267VULN|3DMSP|4BBNT|567DMG|67BPWR|89DUR|aRCR
6	24362 33513	1	   	291.78	DCR|4VULN|3DMG|2DUR	1267VULN|3DMSP|4TBNT|567DMG|67BPWR|89DUR|aRCR
7	24122 31334	1	   	287.84	DCR|5VULN|2DUR|1DMG	12459VULN|39DUR|69LHND|7RCR|8AART|9BPWR|aDMG
8	14631 31122	5	   	287.66	DCR|4VULN|3DUR|3CDMG	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aRMIN
9	14631 31121	5	   	287.56	DCR|4VULN|3DUR|3CDMG	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aDUST
10	14631 31123	5	   	287.56	DCR|4VULN|3DUR|3CDMG	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aERES
11	14631 31124	5	   	287.56	DCR|4VULN|3DUR|3CDMG	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aMBVNT
12	14631 31125	5	   	287.56	DCR|4VULN|3DUR|3CDMG	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aTBNT
13	25413 33438	7	 * 	285.43	DCR|3VULN|3DMG|2ASPD|1DUR	139VULN|2AART|39BPWR|4DUR|579DMG|6MBVNT|89ASPD|aRCR
14	12226 15413	3	 * 	284.77	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	13CDMG|23DMG|3BPWR|47aVULN|5DUR|6AART|8TLV|9RCR
15	14631 31116	5	   	284.45	DCR|4VULN|2DUR|2CDMG|1TLV	17CDMG|278aVULN|3BELT|4AART|57DUR|6RCR|7BPWR|9TLV
16	12361 63112	8	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|24DMG|37aVULN|58DUR|6RCR|9TLV
17	12361 63126	8	   	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	1CDMG|24aDMG|379VULN|58DUR|6RCR
18	24122 31333	1	   	281.42	DCR|5VULN|2DUR|1CDMG	12459VULN|39DUR|69LHND|7RCR|8AART|9BPWR|aCDMG
19	24122 61533	1	   	281.42	DCR|5VULN|2DUR|1CDMG	12459VULN|39DUR|69FEWX|7RCR|8AART|9BPWR|aCDMG
20	24122 61226	1	   	281.18	DCR|5VULN|2DMG|1DUR	1245aVULN|3DUR|68aFEWX|7RCR|9aDMG|aBPWR
21	24122 31331	1	 * 	281.00	DCR|5VULN|3DUR	12459VULN|39aDUR|69LHND|7RCR|8AART|9BPWR
22	24122 61531	1	   	281.00	DCR|5VULN|3DUR	12459VULN|39aDUR|69FEWX|7RCR|8AART|9BPWR
23	24122 11126	1	   	280.88	DCR|5VULN|2DMG|1DUR	1245aVULN|3DUR|68aDUST|7RCR|9aDMG|aBPWR
24	12361 63123	8	 * 	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1CDMG|24DMG|379VULN|58aDUR|6RCR
25	12226 15213	3	   	279.53	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	13CDMG|23DMG|3BPWR|47aVULN|5DUR|6AART|8ASPD|9RCR
26	12361 25361	7	   	279.11	DCR|3VULN|3DMG|1DUR|1CDMG|1ASPD	1CDMG|246DMG|39aVULN|5DUR|7ASPD|8RCR
27	12361 15413	5	   	278.36	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|24DMG|37aVULN|5DUR|6AART|8TLV|9RCR
28	12361 63623	9	   	278.36	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|24DMG|37aVULN|5DUR|6RCR|8TLV|9AART
29	12366 15213	3	   	278.17	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1CDMG|2DMG|347aVULN|5DUR|6AART|8ASPD|9RCR
30	12211 11432	5	 * 	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4BEXP|5aDUR|6AART|7aVULN|8RCR
31	12211 11512	5	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4BEXP|5aDUR|6AART|7aVULN|9RCR
32	12211 26112	7	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|236DMG|3aBPWR|4BEXP|5aDUR|7AART|8aVULN|9RCR
33	12216 11432	4	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4BEXP|5aDUR|6AART|7aVULN|8RCR
34	12216 11512	4	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4BEXP|5aDUR|6AART|7aVULN|9RCR
35	12246 11432	3	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4FEWX|5aDUR|6AART|7aVULN|8RCR
36	12246 11512	3	   	278.09	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4FEWX|5aDUR|6AART|7aVULN|9RCR
37	12361 63122	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1CDMG|24DMG|379VULN|58DUR|6RCR|aASPD
38	12361 63142	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1CDMG|24DMG|37aVULN|58DUR|6RCR|9ASPD
39	12236 11432	3	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|8RCR
40	12236 11512	3	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|9RCR
41	12251 11432	5	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|8RCR
42	12251 11512	5	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|9RCR
43	12251 26112	7	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|236DMG|3aBPWR|4DUST|5aDUR|7AART|8aVULN|9RCR
44	12256 11432	4	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|239DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|8RCR
45	12256 11512	4	   	277.99	DCR|2VULN|3DMG|2DUR|3CDMG	13aCDMG|238DMG|3aBPWR|4DUST|5aDUR|6AART|7aVULN|9RCR
46	24122 11245	1	   	277.98	DCR|5VULN|2DUR|1DMG	12458VULN|38DUR|68DUST|7RCR|8BPWR|9CGEN|aDMG
47	11546 34154	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179CDMG|2MBVNT|3RPLT|4BELT|579DUR|6789VULN|79BPWR|aRCR
48	14631 31126	5	   	277.66	DCR|4VULN|3DUR|3CDMG|1SELL	179CDMG|2789VULN|3BELT|4AART|579DUR|6RCR|79BPWR|aSELL
49	21621 22513	3	   	277.29	DCR|4VULN|3DMG|1DUR	1478VULN|2ERES|378DMG|578CGEN|6TBNT|78BPWR|9DUR|aRCR
50	12361 63125	8	   	276.69	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24DMG|379VULN|58DUR|6RCR|aAART
51	21463 11362	5	   	276.37	DCR|3VULN|3DUR|2DMG	167VULN|2ERES|3AART|478DUR|57DMG|7BPWR|9RPLT|aRCR
52	21463 31362	6	   	276.37	DCR|3VULN|3DUR|2DMG	167VULN|2ERES|3AART|478DUR|57DMG|7BPWR|9RPLT|aRCR
53	26124 23647	7	   	276.12	DCR|4VULN|2DMG|2DUR	167aVULN|23RCVC|4MBVNT|5aDMG|8RCR|9aDUR|aBPWR
54	26122 11326	2	   	276.02	DCR|4VULN|2DMG|2DUR	145aVULN|2RCVC|38DUR|6aDUST|7RCR|9aDMG|aBPWR
55	22413 13134	7	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	189VULN|2TLV|3AART|4ASPD|57DMG|6DUR|aRCR
56	22413 16134	6	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	189VULN|2TLV|3AART|4ASPD|57DMG|6DUR|aRCR
57	22413 26134	5	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	189VULN|2TLV|3AART|4ASPD|57DMG|6DUR|aRCR
58	12341 33532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389VULN|4BEXP|5RCVC|6LHND|789DUR|89BPWR|aRCR
59	12346 23532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389VULN|46BEXP|5LHND|789DUR|89BPWR|aRCR
60	12525 23532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389DUR|4LWND|56FEWX|789VULN|89BPWR|aRCR
61	12525 33532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389DUR|46LWND|5FEWX|789VULN|89BPWR|aRCR
62	12536 23532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389DUR|46FEWX|5LWND|789VULN|89BPWR|aRCR
63	12536 33532	8	   	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389DUR|4FEWX|56LWND|789VULN|89BPWR|aRCR
64	12521 33532	8	   	275.33	DCR|3VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|389DUR|4LWND|5RCVC|6DUST|789VULN|89BPWR|aRCR
65	14631 31111	5	   	275.03	DCR|3VULN|3DUR|2CDMG|1TLV	17CDMG|278VULN|3BELT|4AART|57aDUR|6RCR|7BPWR|9TLV
66	21621 22543	3	   	274.69	DCR|4VULN|3DMG|1CDMG	1478VULN|2ERES|378DMG|578CGEN|6TBNT|78BPWR|9CDMG|aRCR
67	24322 33324	1	   	274.59	DCR|4VULN|3DMG|1CDMG	1267VULN|3DMSP|4BBNT|567DMG|67BPWR|8CDMG|9BEXP|aRCR
68	24322 33364	1	   	274.59	DCR|4VULN|3DMG|1CDMG	1267VULN|3DMSP|4BBNT|567DMG|67BPWR|8CDMG|9LHND|aRCR
69	24362 33324	1	   	274.59	DCR|4VULN|3DMG|1CDMG	1267VULN|3DMSP|4TBNT|567DMG|67BPWR|8CDMG|9BEXP|aRCR
70	26521 33324	1	   	274.59	DCR|4VULN|3DMG|1CDMG	1467VULN|267DMG|3BBNT|5RCVC|67BPWR|8CDMG|9BEXP|aRCR
71	24322 33144	1	   	274.49	DCR|4VULN|3DMG|1CDMG	1267VULN|3DMSP|4BBNT|567DMG|67BPWR|8DUST|9CDMG|aRCR
72	12361 63216	8	   	273.82	DCR|3VULN|2DMG|2CDMG|1DUR|2LIT	1aCDMG|24DMG|37aVULN|5DUR|6RCR|8ZMB|9aLIT|aBPWR
73	14363 63323	8	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2789VULN|3TLV|4DMG|5CGEN|6RCR|aDUR
74	16363 63323	8	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2TLV|3789VULN|4DMG|5CGEN|6RCR|aDUR
75	12361 62136	8	 * 	273.51	DCR|3VULN|2DMG|3CDMG|1DUR	19aCDMG|24DMG|39aVULN|5DUR|6RCR|7LIT|89aZMB|9aBPWR
76	12361 15213	5	   	273.11	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1CDMG|24DMG|37aVULN|5DUR|6AART|8ASPD|9RCR
77	12366 15213	4	   	273.11	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1CDMG|24DMG|37aVULN|5DUR|6AART|8ASPD|9RCR
78	14631 31113	5	   	272.81	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	17CDMG|278VULN|3BELT|4AART|57DUR|6RCR|7BPWR|9TLV|aASPD
79	14631 31222	5	   	272.79	DCR|3VULN|3DUR|3CDMG|2AART	179CDMG|279VULN|3BELT|48AART|579DUR|6RCR|79BPWR|aRMIN
80	14631 31221	5	   	272.69	DCR|3VULN|3DUR|3CDMG|2AART	179CDMG|279VULN|3BELT|48AART|579DUR|6RCR|79BPWR|aDUST
81	14631 31223	5	   	272.69	DCR|3VULN|3DUR|3CDMG|2AART	179CDMG|279VULN|3BELT|48AART|579DUR|6RCR|79BPWR|aERES
82	14631 31224	5	   	272.69	DCR|3VULN|3DUR|3CDMG|2AART	179CDMG|279VULN|3BELT|48AART|579DUR|6RCR|79BPWR|aMBVNT
83	14631 31225	5	   	272.69	DCR|3VULN|3DUR|3CDMG|2AART	179CDMG|279VULN|3BELT|48AART|579DUR|6RCR|79BPWR|aTBNT
84	12461 11512	5	   	271.85	DCR|2VULN|3DMG|2DUR|2CDMG	1aCDMG|248DMG|3LEGI|5aDUR|6AART|7aVULN|9RCR|aBPWR
85	24122 43135	1	 * 	271.80	DCR|5VULN|2CDMG|1DUR	12458VULN|3DUR|68ZMB|78CDMG|8BPWR|9LIT|aRCR
86	24126 31316	1	   	271.56	DCR|5VULN|2DUR|1CDMG	1248aVULN|39DUR|5CDMG|6RCR|7RPLT
87	26122 11242	2	   	271.56	DCR|5VULN|2DUR|1CDMG	1458aVULN|2RCVC|38DUR|68DUST|7RCR|8BPWR|9CDMG
88	24122 11342	1	   	271.46	DCR|5VULN|2DUR|1CDMG	1245aVULN|38DUR|6DUST|7RCR|9CDMG
89	24124 21621	1	   	271.24	DCR|5VULN|3DUR	1246aVULN|368DUR|5BELT|6BPWR|7LWND|9RCR
90	24122 11224	1	   	271.14	DCR|5VULN|3DUR	12458VULN|38aDUR|68DUST|7RCR|8BPWR|9BEXP
91	26122 11236	2	   	271.14	DCR|5VULN|3DUR|1NUKE	1458aVULN|2RCVC|38aDUR|68aDUST|7RCR|8aBPWR|9NUKE
92	24122 11336	1	   	271.04	DCR|5VULN|3DUR|1NUKE	1245aVULN|38aDUR|6aDUST|7RCR|9NUKE|aBPWR
93	24122 11215	1	   	271.04	DCR|5VULN|3DUR	12458VULN|38aDUR|689DUST|7RCR|8BPWR
94	25413 16131	8	   	271.02	DCR|3VULN|2DMG|2DUR|2AART	139VULN|2aAART|39BPWR|46DUR|59DMG|79ZMB|8RCR
95	25253 13134	7	   	271.00	DCR|4VULN|2DMG|1DUR	1489VULN|2AART|3LEGI|57DMG|6DUR|aRCR
96	12324 11532	8	   	270.26	DCR|4VULN|3CDMG|1DMG|1DUR	189CDMG|2DMG|3589VULN|4LWND|6DUR|789BEXP|89BPWR|aRCR
97	14631 31112	5	   	270.11	DCR|3VULN|2DUR|2CDMG|1TLV	17CDMG|278VULN|3BELT|4AART|57DUR|6RCR|7BPWR|9TLV|aLIT
98	26213 11334	1	   	269.87	DCR|3VULN|2DMG|2ASPD|1DUR	169VULN|29DMG|34LHND|5DUR|79ASPD|8AART|9BPWR|aRCR
99	25413 42233	10	   	269.68	DCR|3VULN|2DUR|1DMG|2AART|1TLV	139VULN|27AART|39BPWR|49DUR|5DMG|6TLV|89BEXP|aRCR
100	12361 63111	8	   	269.60	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1CDMG|24DMG|37VULN|58aDUR|6RCR|9TLV
101	14631 31216	5	   	269.58	DCR|3VULN|2DUR|2CDMG|2AART|1TLV	17CDMG|27aVULN|3BELT|48AART|57DUR|6RCR|7BPWR|9TLV
102	23145 11334	2	 * 	269.45	DCR|4VULN|2DUR|2ASPD	1469VULN|2LHND|39DUR|5RMIN|79ASPD|8AART|9BPWR|aRCR
103	22145 11334	1	   	269.35	DCR|4VULN|2DUR|2ASPD	1469VULN|2LEGI|39DUR|5RMIN|79ASPD|8AART|9BPWR|aRCR
104	13234 13343	8	   	269.30	DCR|4VULN|2DUR|2CDMG|1ASPD|1SELL	18CDMG|2SELL|3578VULN|4RPLT|68DUR|8BPWR|9ASPD|aRCR
