0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15231 13512	9	 * 	296.11	DCR|4VULN|2DMG|3CDMG|2LIT	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aDMG|8aLIT|9AART
2	21516 33182	1	 * 	295.24	DCR|3VULN|3DMG|3ASPD|3CDMG	167DMG|259CDMG|379ASPD|479VULN|79BPWR|8MBVNT|aRCR
3	15231 53122	10	 * 	290.79	DCR|5VULN|2DMG|3CDMG|1SELL	1RMIN|245CDMG|34589VULN|458BPWR|6SELL|78DMG|aRCR
4	15231 13324	8	 * 	289.60	DCR|5VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aTLV
5	15231 13354	8	   	289.60	DCR|5VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9DUR
6	15231 13524	7	   	289.60	DCR|5VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aTLV
7	24227 14483	6	 * 	287.15	DCR|4VULN|3DMG|3CDMG	189DMG|289aVULN|3MBVNT|4aZMB|5aDUST|6RCR|789CDMG|89aBPWR
8	15231 13341	9	   	286.31	DCR|4VULN|3CDMG|1DMG|1TLV|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aDUR
9	15231 13346	10	   	286.31	DCR|4VULN|3CDMG|1DMG|1TLV|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aDUR
10	15231 12333	7	 * 	285.89	DCR|4VULN|2DUR|3CDMG|2ASPD	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7DUST|8aDUR|9aASPD
11	26212 34151	1	   	284.07	DCR|3VULN|3DMG|2ASPD|1DUR|1NUKE	127DMG|27BPWR|3LIT|47ASPD|578VULN|6NUKE|9DUR|aRCR
12	24221 54483	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	179DMG|279VULN|3MBVNT|4LHND|5BEXP|679DUR|79BPWR|8RCVC|aRCR
13	24222 13651	10	   	282.56	DCR|3VULN|3DMG|3DUR	189DMG|28aVULN|3MBVNT|4ZMB|5aLHND|6RCR|78aDUR|8aBPWR
14	24223 13651	10	   	282.56	DCR|3VULN|3DMG|3DUR	189DMG|28aVULN|3MBVNT|4ZMB|5aLWND|6RCR|78aDUR|8aBPWR
15	26242 54483	3	   	282.46	DCR|3VULN|3DMG|3DUR	179DMG|2BEXP|3MBVNT|4LEGI|579VULN|679DUR|79BPWR|8RCVC|aRCR
16	15231 13321	8	   	281.65	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aLIT
17	15231 13521	7	   	281.65	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aLIT
18	15231 15521	6	   	281.65	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aLIT
19	15231 13311	9	   	281.06	DCR|4VULN|3CDMG|1DMG|1DUR|1ASPD	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9ASPD|aDUR
20	15231 13316	10	   	281.06	DCR|4VULN|3CDMG|1DMG|1DUR|1ASPD	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9ASPD|aDUR
21	15231 13353	8	   	281.06	DCR|4VULN|3CDMG|1DMG|1DUR|1ASPD	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aASPD
22	15231 13553	7	   	281.06	DCR|4VULN|3CDMG|1DMG|1DUR|1ASPD	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aASPD
