0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33131 43563	9	 * 	275.65	DCR|3VULN|3DUR|3TLV|1CDMG|1AART|1SELL	1RPLT|2SELL|39aTLV|4CDMG|5AART|69aVULN|79aDUR|8RCR|9aBPWR
2	35623 15313	4	 * 	270.57	DCR|5VULN|2DUR|3CDMG	1RPLT|2aDUR|356CDMG|4569aVULN|56aBPWR|7RCR|8aMLV
3	35623 15213	4	   	270.37	DCR|5VULN|2DUR|3CDMG	1RPLT|2aDUR|356CDMG|4569aVULN|56aBPWR|7RCR|8aERES
4	12112 35143	1	 * 	270.30	DCR|3VULN|3DUR|1TLV|3CDMG	19DUST|235DUR|459CDMG|59BPWR|689VULN|7RCR|aTLV
5	12112 35143	2	   	270.30	DCR|3VULN|3DUR|1TLV|3CDMG	19DUST|235DUR|459CDMG|59BPWR|689VULN|7RCR|aTLV
6	35422 32263	5	 * 	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1RPLT|23aDUR|4DMSP|5TLV|6AART|7RCR|8aDMG|9aVULN|aBPWR
7	23333 11153	2	 * 	266.96	ACR|4VULN|3DMG|1TLV|1DUR	1LWND|2RCR|356DMG|4569VULN|56BPWR|7DUR|8TLV|aLIT
8	13343 11153	2	   	266.86	ACR|4VULN|3DMG|1TLV|1DUR	1DUST|2RCR|356DMG|4569VULN|56BPWR|7DUR|8TLV|aLIT
9	12122 41826	6	 * 	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	1aDUST|26aDUR|3MBVNT|456VULN|6aBPWR|7CDMG|8RCR|9aTLV
10	35623 15333	4	 * 	265.45	DCR|4VULN|3DUR|3CDMG	1RPLT|29aDUR|356CDMG|456aVULN|56aBPWR|7RCR|8aMLV
11	22323 16461	4	 * 	265.45	DCR|4VULN|3DUR|1TLV	1LWND|256DUR|3RMIN|456aVULN|56BPWR|7TLV|8BEXP|9RCR
12	22323 16661	4	   	265.45	DCR|4VULN|3DUR|1TLV	1LWND|256DUR|3RMIN|456aVULN|56BPWR|7TLV|8FEWX|9RCR
13	23333 11253	2	 * 	265.41	ACR|3VULN|3DMG|3DUR|1TLV	1LWND|2RCR|356DMG|456VULN|56BPWR|789DUR|aTLV
14	12323 16461	4	   	265.35	DCR|4VULN|3DUR|1TLV	1DUST|256DUR|3RMIN|456aVULN|56BPWR|7TLV|8FEWX|9RCR
15	12323 16661	4	   	265.35	DCR|4VULN|3DUR|1TLV	1DUST|256DUR|3RMIN|456aVULN|56BPWR|7TLV|8BEXP|9RCR
16	13343 11243	2	   	265.31	ACR|3VULN|3DMG|3DUR|1TLV	1DUST|2RCR|356DMG|456VULN|56BPWR|789DUR|aTLV
17	35623 15233	4	   	265.25	DCR|4VULN|3DUR|3CDMG	1RPLT|29aDUR|356CDMG|456aVULN|56aBPWR|7RCR|8aERES
18	12122 31563	6	   	265.15	DCR|4VULN|3DUR|1TLV	189DUST|289DUR|3MBVNT|4589VULN|6RCR|7LEGI|89BPWR|aTLV
19	12122 41821	6	 * 	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|26DUR|3MBVNT|456VULN|6BPWR|7CDMG|8RCR|9TLV|aDMG
20	12122 43427	6	   	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1DUST|26DUR|3MBVNT|456VULN|6BPWR|7RCR|8TLV|9AART|aDMG
