0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13223 11455	3	 * 	290.25	DCR|5VULN|3DMG|1AART	1RCVC|2MLV|356DMG|4568aVULN|56BPWR|7AART|9RCR
2	12121 56531	4	 * 	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	1RCVC|28ASPD|3CDMG|4689VULN|578DUR|8BPWR|aRCR
3	23322 54331	10	 * 	282.67	ACR|4VULN|3DMG|3DUR|1AART	1AART|279DUR|3RCR|4ZMB|579DMG|679aVULN|79BPWR|8RPLT
4	13223 11456	3	   	281.71	DCR|4VULN|3DMG|1ASPD|1AART	1RCVC|2MLV|356DMG|4568VULN|56BPWR|7AART|9RCR|aASPD
5	16223 16413	3	   	280.48	DCR|5VULN|3DMG	1RCVC|2ZMB|356DMG|4569aVULN|56BPWR|7RCR|8BBNT
6	15121 36531	4	 * 	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	16RCVC|28DMG|3CDMG|489VULN|578DUR|8BPWR|aRCR
7	15133 14531	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	1RCVC|28DMG|3CDMG|4DMSP|568DUR|789VULN|8BPWR|aRCR
8	12423 11256	2	 * 	279.85	DCR|4VULN|2DUR|2ASPD|3TLV	1RCVC|2aASPD|356TLV|456aVULN|56aBPWR|7aDUR|8RMIN|9RCR
9	12623 11256	3	   	279.85	DCR|4VULN|2DUR|2ASPD|3TLV	1RCVC|2aASPD|356TLV|456aVULN|56aBPWR|7aDUR|8RMIN|9RCR
10	12613 51314	5	 * 	277.79	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|89DUR|aCDMG
11	12613 51341	5	 * 	276.46	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1aRCVC|27ASPD|3TLV|47DMG|579VULN|6RCR|7BPWR|8DUR
12	12613 51342	5	   	276.46	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1RCVC|27ASPD|3TLV|47DMG|579VULN|6RCR|7BPWR|8DUR|aDMSP
13	12613 51343	5	   	276.46	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1RCVC|27ASPD|3TLV|47DMG|579VULN|6RCR|7BPWR|8DUR|aRPLT
14	16223 16631	3	   	275.32	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8AART|9DUR|aASPD
15	16223 16113	3	   	274.69	DCR|4VULN|3DMG|1CDMG	1RCVC|2ZMB|356DMG|456aVULN|56BPWR|7RCR|8BEXP|9CDMG
16	16223 16313	3	   	274.69	DCR|4VULN|3DMG|1CDMG	1RCVC|2ZMB|356DMG|456aVULN|56BPWR|7RCR|8FEWX|9CDMG
17	16223 16213	3	   	274.59	DCR|4VULN|3DMG|1CDMG	1RCVC|2ZMB|356DMG|456aVULN|56BPWR|7RCR|8DUST|9CDMG
18	15432 14111	4	 * 	273.47	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|46ASPD|6BPWR|7RCR|9DUR|aLIT
19	15433 24111	4	   	273.47	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|45ASPD|5BPWR|7RCR|9DUR|aLIT
20	16223 16632	3	   	272.62	DCR|3VULN|3DMG|1DUR|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8AART|9DUR|aLIT
21	15433 16113	4	 * 	272.19	DCR|4VULN|3ASPD|1DMG|1CDMG	1RCVC|2DMG|356aVULN|456ASPD|56BPWR|7RCR|8BEXP|9CDMG
22	15433 16313	4	   	272.19	DCR|4VULN|3ASPD|1DMG|1CDMG	1RCVC|2DMG|356aVULN|456ASPD|56BPWR|7RCR|8FEWX|9CDMG
23	15433 16213	4	   	272.09	DCR|4VULN|3ASPD|1DMG|1CDMG	1RCVC|2DMG|356aVULN|456ASPD|56BPWR|7RCR|8DUST|9CDMG
24	61134 31531	7	 * 	271.76	DCR|4VULN|3DUR|2CDMG	148DUR|26CGEN|3789VULN|58CDMG|8BPWR|aRCR
25	63521 61111	10	 * 	271.66	DCR|4VULN|3DUR|3LIT	19aDUR|2LWND|3MBVNT|4LEGI|59aLIT|679aVULN|8RCR|9aBPWR
26	51216 61323	8	 * 	271.66	DCR|5VULN|2CDMG|2LIT|1AART	13LIT|25CDMG|4578aVULN|5BPWR|6AART|9RCR
27	13223 11454	3	   	270.71	DCR|4VULN|3DMG|1AART	1RCVC|2MLV|356DMG|4568VULN|56BPWR|7AART|9RCR|aCGEN
28	13223 11452	3	   	270.61	DCR|4VULN|3DMG|1AART	1RCVC|2MLV|356DMG|4568VULN|56BPWR|7AART|9RCR|aBBNT
29	13223 11453	3	   	270.61	DCR|4VULN|3DMG|1AART	1RCVC|2MLV|356DMG|4568VULN|56BPWR|7AART|9RCR|aERES
30	16222 14111	3	   	269.85	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9DUR|aLIT
31	16222 14321	3	   	269.85	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4569VULN|6BPWR|7RCR|8DUR|aLIT
32	16223 24111	3	   	269.85	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9DUR|aLIT
33	16223 24321	3	   	269.85	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4569VULN|5BPWR|7RCR|8DUR|aLIT
34	23322 54336	9	   	268.34	ACR|3VULN|3DMG|3DUR|1AART	1AART|279DUR|3RCR|4ZMB|579DMG|679VULN|79BPWR|8RPLT|aLIT
35	16223 16111	3	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8BEXP|9CDMG|aDUR
36	16223 16311	3	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8FEWX|9CDMG|aDUR
37	16223 16211	3	   	268.20	DCR|3VULN|3DMG|1DUR|1CDMG	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8DUST|9CDMG|aDUR
38	32223 11324	3	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	12ERES|256BPWR|356DMG|456VULN|7CDMG|8DUR|9MBVNT|aRCR
39	61151 35433	10	   	267.99	DCR|4VULN|2DUR|2ASPD	17DUR|2CGEN|3678VULN|4MBVNT|57ASPD|7BPWR|9LIT|aRCR
40	15433 16111	4	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1RCVC|2DMG|356VULN|456ASPD|56BPWR|7RCR|8BEXP|9CDMG|aDUR
41	15433 16311	4	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1RCVC|2DMG|356VULN|456ASPD|56BPWR|7RCR|8FEWX|9CDMG|aDUR
42	15433 16211	4	   	265.70	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1RCVC|2DMG|356VULN|456ASPD|56BPWR|7RCR|8DUST|9CDMG|aDUR
43	15432 14112	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|46ASPD|6BPWR|7RCR|9DUR|aBEXP
44	15432 14113	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|46ASPD|6BPWR|7RCR|9DUR|aMLV
45	15433 24112	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|45ASPD|5BPWR|7RCR|9DUR|aBEXP
46	15433 24113	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1RCVC|2DMG|3568VULN|45ASPD|5BPWR|7RCR|9DUR|aMLV
47	35134 63311	5	   	265.15	DCR|4VULN|3DUR|1CDMG	1ERES|239aVULN|468DUR|5CDMG|7RCR
48	12613 51222	5	 * 	265.11	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1RCVC|27ASPD|3TLV|479DMG|57VULN|6RCR|7BPWR|8TBNT|aDUR
49	12613 51522	5	   	265.11	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	1RCVC|27ASPD|3TLV|479DMG|57VULN|6RCR|7BPWR|8BBNT|aDUR
50	16222 14124	3	   	264.83	DCR|5VULN|2DMG	1RCVC|2ZMB|36DMG|4568aVULN|6BPWR|7RCR|9RPLT
51	16223 24124	3	   	264.83	DCR|5VULN|2DMG	1RCVC|2ZMB|35DMG|4568aVULN|5BPWR|7RCR|9RPLT
52	16222 14331	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1RCVC|2ZMB|36DMG|456VULN|6BPWR|7RCR|8aDUR|9ASPD
53	16223 24331	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1RCVC|2ZMB|35DMG|456VULN|5BPWR|7RCR|8aDUR|9ASPD
54	32125 22216	6	   	264.39	DCR|5VULN|2DMG|1SELL	128ERES|28BPWR|3SELL|46789VULN|58DMG|aRCR
55	16223 16633	3	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8AART|9DUR|aLWND
56	12613 51311	5	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aRCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|89DUR
57	12613 51312	5	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|89DUR|aDMSP
58	12613 51313	5	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|89DUR|aRPLT
59	12613 51321	5	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|8aDUR|9LHND
60	12613 51411	5	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|8LHND|9aDUR
61	12613 51315	5	   	264.04	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|27ASPD|3TLV|47DMG|57VULN|6RCR|7BPWR|89DUR|aBBNT
62	12121 36531	4	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	16RCVC|28ASPD|3CDMG|489VULN|578DUR|8BPWR|aRCR
63	12133 14531	7	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	1RCVC|28ASPD|3CDMG|4DMSP|568DUR|789VULN|8BPWR|aRCR
64	16222 14332	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1RCVC|2ZMB|36DMG|456VULN|6BPWR|7RCR|8DUR|9ASPD|aCDMG
65	16223 24332	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1RCVC|2ZMB|35DMG|456VULN|5BPWR|7RCR|8DUR|9ASPD|aCDMG
66	15432 24111	4	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1RCVC|2DMG|3568VULN|4ASPD|7RCR|9DUR|aLIT
67	16223 16114	3	   	263.06	DCR|3VULN|3DMG|1CDMG|1ASPD	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8BEXP|9CDMG|aASPD
68	16223 16314	3	   	263.06	DCR|3VULN|3DMG|1CDMG|1ASPD	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8FEWX|9CDMG|aASPD
69	16223 16214	3	   	262.96	DCR|3VULN|3DMG|1CDMG|1ASPD	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8DUST|9CDMG|aASPD
70	16223 16622	3	   	262.92	DCR|3VULN|3DMG|2LIT|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8AART|9aLIT
71	51323 34111	10	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|2CDMG|39aDUR|4RMIN|5RPLT|6LEGI|79aVULN|8RCR|9aBPWR
72	52161 16111	10	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|2RMIN|3RPLT|49aVULN|5CDMG|6DUST|79aDUR|8RCR|9aBPWR
73	23231 32142	1	 * 	262.68	ACR|4VULN|2DMG|3LIT|2TLV|1AART	1AART|259LIT|35TLV|4RCR|59BPWR|679aVULN|89DMG
74	35134 63312	5	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	1ERES|239VULN|468DUR|5CDMG|7RCR|aDMG
75	66323 31131	3	 * 	261.90	DCR|3VULN|2DUR|3CDMG|1DMG	15DUR|2FEWX|378VULN|456CDMG|5BPWR|9DMG|aRCR
76	16222 14361	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|2ZMB|36DMG|456VULN|6BPWR|7RCR|89DUR|aLIT
77	16223 24361	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|2ZMB|35DMG|456VULN|5BPWR|7RCR|89DUR|aLIT
78	16223 16116	3	   	261.71	DCR|3VULN|3DMG|1CDMG|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8BEXP|9CDMG|aAART
79	16223 16316	3	   	261.71	DCR|3VULN|3DMG|1CDMG|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8FEWX|9CDMG|aAART
80	16223 16216	3	   	261.61	DCR|3VULN|3DMG|1CDMG|1AART	1RCVC|2ZMB|356DMG|456VULN|56BPWR|7RCR|8DUST|9CDMG|aAART
81	16222 14112	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9DUR|aBEXP
82	16222 14113	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9DUR|aMLV
83	16222 14114	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9DUR|aFEWX
84	16222 14115	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9DUR|aLWND
85	16222 14123	3	   	261.54	DCR|4VULN|2DMG|1TLV	1RCVC|2ZMB|36DMG|4568VULN|6BPWR|7RCR|9RPLT|aTLV
86	16222 14322	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4569VULN|6BPWR|7RCR|8DUR|aBEXP
87	16222 14323	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4569VULN|6BPWR|7RCR|8DUR|aMLV
88	16222 14324	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4569VULN|6BPWR|7RCR|8DUR|aFEWX
89	16222 14325	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|36DMG|4569VULN|6BPWR|7RCR|8DUR|aLWND
90	16223 24112	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9DUR|aBEXP
91	16223 24113	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9DUR|aMLV
92	16223 24114	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9DUR|aFEWX
93	16223 24115	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9DUR|aLWND
94	16223 24123	3	   	261.54	DCR|4VULN|2DMG|1TLV	1RCVC|2ZMB|35DMG|4568VULN|5BPWR|7RCR|9RPLT|aTLV
95	16223 24322	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4569VULN|5BPWR|7RCR|8DUR|aBEXP
96	16223 24323	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4569VULN|5BPWR|7RCR|8DUR|aMLV
97	16223 24324	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4569VULN|5BPWR|7RCR|8DUR|aFEWX
98	16223 24325	3	   	261.54	DCR|4VULN|2DMG|1DUR	1RCVC|2ZMB|35DMG|4569VULN|5BPWR|7RCR|8DUR|aLWND
99	14212 21341	5	   	261.46	DCR|4VULN|3DUR|1AART	1RCVC|28BEXP|3468VULN|578DUR|8BPWR|9AART|aRCR
100	14224 21341	5	   	261.46	DCR|4VULN|3DUR|1AART	1RCVC|28BEXP|3568VULN|478DUR|8BPWR|9AART|aRCR
101	23223 36246	3	   	261.45	DCR|3VULN|3DUR|2AART|2LIT	15AART|289DUR|39LIT|49aVULN|6RCVC|7RCR|9BPWR
