0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11612 53333	9	 * 	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1aFEWX|278aVULN|3CDMG|49TLV|5aDMG|6RCR|aBPWR
2	23432 52233	7	 * 	278.40	DCR|3VULN|3DMG|1TLV|1DUR	19aBEXP|2TLV|3RMIN|49aVULN|5LIT|6DUR|79aDMG|8RCR|9aBPWR
3	11612 55333	9	 * 	275.37	DCR|3VULN|3DMG|2TLV|1CDMG	1aFEWX|28aVULN|3CDMG|49TLV|57aDMG|6RCR|aBPWR
4	21612 55333	9	   	275.37	DCR|3VULN|3DMG|2TLV|1CDMG	1aBEXP|28aVULN|3CDMG|49TLV|57aDMG|6RCR|aBPWR
5	26347 63233	5	 * 	273.86	DCR|4VULN|3DUR|1TLV	19aBEXP|2MBVNT|379aVULN|4LIT|5TLV|69aDUR|8RCR|9aBPWR
6	26347 81233	5	   	273.86	DCR|4VULN|3DUR|1TLV	19aBEXP|2MBVNT|369aVULN|4LIT|5TLV|79aDUR|8RCR|9aBPWR
7	21352 52233	7	 * 	272.06	DCR|3VULN|3DMG|3LIT|1DUR	1BEXP|29aVULN|3CGEN|4ASPD|59aLIT|6DUR|79aDMG|8RCR|9aBPWR
8	21612 55313	8	   	267.29	DCR|3VULN|3DMG|1TLV|1CDMG	19aBEXP|28aVULN|3CDMG|4TLV|57aDMG|6RCR|aBPWR
9	11612 53362	8	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1FEWX|278VULN|3CDMG|4TLV|5DMG|6RCR|9aDUR
10	21342 52233	7	   	263.65	DCR|3VULN|3DMG|3LIT|1DUR	1BEXP|29aVULN|3CGEN|4ERES|59aLIT|6DUR|79aDMG|8RCR|9aBPWR
11	23432 52231	7	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	19BEXP|2TLV|3RMIN|49aVULN|5LIT|6DUR|79DMG|8RCR|9BPWR
12	26347 31233	5	 * 	260.89	DCR|3VULN|3DUR|2TLV	19aBEXP|2MBVNT|39aVULN|4LIT|56TLV|79aDUR|8RCR|9aBPWR
13	26347 63231	5	   	260.43	DCR|4VULN|2DUR|1TLV	19BEXP|2MBVNT|379aVULN|4LIT|5TLV|69DUR|8RCR|9BPWR
14	26347 63243	5	   	260.43	DCR|4VULN|2DUR|1TLV	1aBEXP|2MBVNT|379aVULN|4LIT|5TLV|6aDUR|8RCR|aBPWR
15	26347 81231	5	   	260.43	DCR|4VULN|2DUR|1TLV	19BEXP|2MBVNT|369aVULN|4LIT|5TLV|79DUR|8RCR|9BPWR
16	26347 81243	5	   	260.43	DCR|4VULN|2DUR|1TLV	1aBEXP|2MBVNT|369aVULN|4LIT|5TLV|7aDUR|8RCR|aBPWR
17	11612 56333	9	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1aFEWX|28aVULN|3CDMG|49TLV|5aDMG|6RCR|7RCVC|aBPWR
18	21612 51333	9	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	17aBEXP|28aVULN|3CDMG|49TLV|5aDMG|6RCR|aBPWR
19	21612 56333	9	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1aBEXP|28aVULN|3CDMG|49TLV|5aDMG|6RCR|7RCVC|aBPWR
20	26347 81233	6	   	259.36	DCR|3VULN|3DUR|1TLV|2LIT	19aBEXP|2MBVNT|39aVULN|46LIT|5TLV|79aDUR|8RCR|9aBPWR
21	21222 64412	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|248VULN|37DUR|5ASPD|6TLV|9DMG|aRCR
22	21346 13532	2	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|267VULN|3ASPD|4DMG|59DUR|8TLV|aRCR
23	33133 33316	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|2ASPD|3DUR|48aVULN|5CDMG|6TLV|7RCR|9DMG
24	63133 33516	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2ASPD|3DUR|48aVULN|5CDMG|6TLV|7RCR|9DMG
25	21613 14718	10	 * 	257.85	DCR|3VULN|2DMG|1TLV|2CDMG	1aBEXP|26aVULN|37CDMG|4TLV|5MBVNT|8aDMG|9RCR|aBPWR
26	26324 11357	8	 * 	257.69	DCR|5VULN|3DUR	19aBEXP|2MBVNT|3489aVULN|5RCVC|69aDUR|7RCR|9aBPWR
27	11223 12445	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1FEWX|246aVULN|3DUR|5LIT|7RCR|8AART|9TLV
28	21223 12445	6	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1BEXP|246aVULN|3DUR|5LIT|7RCR|8AART|9TLV
29	11612 53314	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|278aVULN|3CDMG|4TLV|5DMG|6RCR|9ZMB
30	11612 53316	8	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|278aVULN|3CDMG|4TLV|5DMG|6RCR|9BEXP
31	11612 53326	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|278aVULN|3CDMG|4TLV|5DMG|6RCR|9BEXP
32	11612 53334	8	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|278aVULN|3CDMG|4TLV|5DMG|6RCR|9ZMB
33	21223 14562	6	 * 	254.29	DCR|4VULN|2DUR|2CDMG	19BEXP|2469VULN|37DUR|5LIT|89CDMG|9BPWR|aRCR
34	21223 15562	7	   	254.29	DCR|4VULN|2DUR|2CDMG	19BEXP|2469VULN|37DUR|5LIT|89CDMG|9BPWR|aRCR
35	11223 22562	6	   	254.29	DCR|4VULN|2DUR|2CDMG	19FEWX|2489VULN|37DUR|5LIT|69CDMG|9BPWR|aRCR
36	21223 22562	6	   	254.29	DCR|4VULN|2DUR|2CDMG	19BEXP|2489VULN|37DUR|5LIT|69CDMG|9BPWR|aRCR
37	11222 61551	10	   	254.05	DCR|4VULN|1TLV|1DUR	1FEWX|249aVULN|3DUR|5ASPD|6TLV|7RCR|8LIT
