0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23323 66411	9	 * 	291.14	DCR|4VULN|3DMG|1DUR|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aDUR
2	16222 33334	1	 * 	289.06	DCR|3VULN|3DMG|2DUR|3LIT|1SELL	128LIT|38aVULN|4BEXP|5aDUR|68aDMG|7SELL|8aBPWR|9RCR
3	16262 33334	1	 * 	289.06	DCR|3VULN|3DMG|2DUR|3LIT|1SELL	128LIT|38aVULN|4FEWX|5aDUR|68aDMG|7SELL|8aBPWR|9RCR
4	16223 53334	1	 * 	286.63	DCR|3VULN|3DUR|2DMG|3LIT|1SELL	128LIT|38aVULN|4BEXP|5aDMG|68aDUR|7SELL|8aBPWR|9RCR
5	16136 22353	7	 * 	282.09	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	18LIT|2DMSP|38DMG|4CDMG|59DUR|6RCR|78aVULN|8BPWR
6	23323 66214	9	 * 	281.21	DCR|4VULN|3DMG|2CDMG	19aBEXP|269aVULN|3FEWX|48CDMG|59aDMG|7RCR|9aBPWR
7	64122 26113	7	 * 	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	16ASPD|2456VULN|3DMSP|6BPWR|7TLV|8CDMG|9RCR|aDUR
8	66122 26113	7	   	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	16ASPD|2DMSP|3456VULN|6BPWR|7TLV|8CDMG|9RCR|aDUR
9	23323 66412	10	   	274.89	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aRPLT
10	23323 66413	10	   	274.89	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aLHND
11	23323 66413	9	   	274.89	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aMLV
12	23323 63514	10	   	274.79	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7MBVNT|89BPWR|aRCR
13	23323 66411	10	   	274.79	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aDUST
14	23323 66412	9	   	274.79	DCR|4VULN|3DMG|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aBBNT
15	13123 35536	1	 * 	271.99	DCR|4VULN|2DUR|3LIT|1CDMG	178LIT|27DUR|3567VULN|4TBNT|7BPWR|9RCR|aCDMG
16	13122 35363	1	 * 	271.76	DCR|4VULN|3DUR|3LIT	17aLIT|257DUR|367aVULN|4TBNT|7aBPWR|8aLWND|9RCR
17	33213 64342	5	 * 	271.70	DCR|5VULN|2ASPD|1CDMG|1AART	1LHND|2469aVULN|36ASPD|5AART|6BPWR|7CDMG|8RCR
18	13122 35163	1	   	271.56	DCR|4VULN|3DUR|3LIT	17aLIT|257DUR|367aVULN|4TBNT|7aBPWR|8aDUST|9RCR
19	13123 35532	1	   	271.56	DCR|4VULN|3DUR|3LIT	178LIT|27aDUR|3567VULN|4TBNT|7BPWR|9RCR
20	23323 66431	9	   	270.04	DCR|4VULN|2DMG|1CDMG|1ASPD	18BEXP|268aVULN|3FEWX|4CDMG|58DMG|7RCR|8BPWR|9ASPD
21	16236 42131	1	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	12LIT|359aVULN|45DUR|5BPWR|6TLV|7FEWX|8RCR
22	16236 31131	1	   	269.48	DCR|4VULN|2DUR|1TLV|2LIT	12LIT|359aVULN|45DUR|5BPWR|6DUST|7TLV|8RCR
23	11136 63333	2	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	158LIT|2LEGI|3568VULN|4RCVC|58BPWR|78DUR|9RCR|aASPD
