0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24145 14132	10	 * 	302.31	DCR|5VULN|3DUR|3TLV|1ASPD	1MBVNT|2578aVULN|3ASPD|47aDUR|67aTLV|7aBPWR|9RCR
2	52523 54132	10	 * 	300.55	DCR|5VULN|3DMG|3TLV	17aTLV|2MBVNT|3BEXP|4678aVULN|57aDMG|7aBPWR|9RCR
3	52423 44132	10	   	300.45	DCR|5VULN|3DMG|3TLV	17aTLV|2MBVNT|3DUST|4678aVULN|57aDMG|7aBPWR|9RCR
4	24777 33132	10	   	298.04	DCR|5VULN|2DUR|2TLV|1DMG	1MBVNT|2348aVULN|5DMG|6RCR|7aTLV|9aDUR|aBPWR
5	53341 14132	10	   	297.26	DCR|4VULN|3DMG|3TLV|1DUR	17aTLV|2DUR|3RCVC|4MBVNT|57aDMG|678aVULN|7aBPWR|9RCR
6	24316 46345	2	   	297.26	DCR|4VULN|3DMG|3LIT|1TLV	1MBVNT|2789VULN|379DMG|4LWND|5TLV|679LIT|79BPWR|aRCR
7	52872 13132	10	   	297.16	DCR|4VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3DUR|45aDMG|678aVULN|9RCR|aBPWR
8	24382 54132	10	   	296.93	DCR|5VULN|3DMG|1DUR	1MBVNT|2678aVULN|3DUR|47aMLV|57aDMG|7aBPWR|9RCR
9	24333 22132	10	   	296.83	DCR|5VULN|3DMG|1DUR	1MBVNT|2678aVULN|3DUR|4aCGEN|56aDMG|6aBPWR|9RCR
10	24333 26132	10	 * 	296.19	DCR|4VULN|2DMG|2DUR|2TLV	1MBVNT|269aVULN|3aDUR|4CGEN|56DMG|6aBPWR|7RCR|8aTLV
11	24333 26542	10	   	296.19	DCR|4VULN|2DMG|2DUR|2TLV	1MBVNT|268aVULN|3aDUR|4CGEN|56DMG|6aBPWR|7RCR|9aTLV
12	23252 11458	6	 * 	295.66	DCR|5VULN|2DMG|2DUR	1MBVNT|2RPLT|3567aVULN|4aDMG|8RCR|9aDUR|aBPWR
13	24247 56134	10	   	295.66	DCR|5VULN|2DMG|2DUR	1MBVNT|2568aVULN|3BEXP|4aDUR|7RCR|9aDMG|aBPWR
14	24335 16532	10	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1MBVNT|258aVULN|3aDUR|4CGEN|6TLV|7RCR|9aDMG|aBPWR
15	24385 16132	10	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1MBVNT|258aVULN|3aDUR|4MLV|6TLV|7RCR|9aDMG|aBPWR
16	52384 14132	10	   	291.83	DCR|4VULN|3DUR|3TLV|1DMG	17aTLV|2MBVNT|3RCVC|4DMG|57aDUR|678aVULN|7aBPWR|9RCR
17	24645 14132	10	   	291.30	DCR|5VULN|3DUR|3TLV	1MBVNT|2578aVULN|3ZMB|47aDUR|67aTLV|7aBPWR|9RCR
18	24247 56434	10	 * 	289.35	DCR|4VULN|3DUR|2DMG	1MBVNT|256aVULN|3BEXP|48aDUR|7RCR|9aDMG|aBPWR
