0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15523 21143	10	 * 	284.22	DCR|3VULN|3DUR|2DMG|3LIT	189LIT|29DMG|378DUR|4ASPD|5LHND|689VULN|89BPWR|aRCR
2	16636 33322	10	 * 	277.90	ACR|3VULN|3DUR|2DMG|2TLV|3LIT	179LIT|259DUR|37DMG|4RCR|67TLV|79BPWR|89aVULN
3	15522 26312	8	 * 	277.26	DCR|4VULN|2DMG|3LIT|1DUR	179LIT|29DMG|3DUR|4ASPD|5689VULN|9BPWR|aRCR
4	33362 33651	7	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	1BEXP|2aDMG|3MLV|4LIT|59aVULN|6TLV|7aDUR|8RCR|aBPWR
5	15112 33661	7	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1LIT|2aDMG|3LHND|4ERES|59aVULN|6TLV|7aDUR|8RCR|aBPWR
6	15212 33651	7	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	1LIT|2aDMG|3BEXP|4ERES|59aVULN|6TLV|7aDUR|8RCR|aBPWR
7	16622 26312	8	 * 	274.25	DCR|4VULN|2DUR|3LIT|1DMG	179LIT|29DUR|3DMG|4ASPD|5689VULN|9BPWR|aRCR
8	53362 21261	6	 * 	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7DUR|8RCR|9aTLV|aBPWR
9	34232 22541	5	   	267.94	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|267VULN|3DMG|4DUR|56TLV|6BPWR|8CDMG|9AART|aRCR
10	16522 24122	9	 * 	267.46	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|279DUR|3TLV|4ASPD|569VULN|8LEGI|9BPWR|aRCR
11	34232 22234	5	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1BEXP|267VULN|3DMG|4DUR|56TLV|6BPWR|8LIT|9RCR|aCDMG
12	33132 14141	8	 * 	266.28	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9AART|aRCR
13	15534 33322	9	   	264.67	ACR|3VULN|2DMG|2TLV|2DUR|3LIT	179LIT|29DMG|37DUR|4RCR|5RCVC|67TLV|79BPWR|89aVULN
14	16634 33322	9	   	264.67	ACR|3VULN|2DMG|2TLV|2DUR|3LIT	179LIT|29DUR|37DMG|4RCR|5RCVC|67TLV|79BPWR|89aVULN
15	34411 35222	10	 * 	264.43	DCR|5VULN|2DUR|1DMG	13aBEXP|2369aVULN|3aBPWR|4ERES|5DMG|7aDUR|8RCR
16	21121 51222	10	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1RMIN|24aDUR|39aVULN|5DMG|6TLV|7aERES|8RCR|aBPWR
17	21121 51226	9	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1RMIN|24aDUR|39aVULN|5DMG|6TLV|7aERES|8RCR|aBPWR
18	21121 51246	8	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1RMIN|24aDUR|39aVULN|5DMG|6TLV|7aERES|8RCR|aBPWR
19	34411 35232	10	 * 	263.67	DCR|4VULN|2DMG|2DUR	13aBEXP|236aVULN|3aBPWR|4ERES|59DMG|7aDUR|8RCR
