0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36621 25322	5	 * 	290.23	DCR|3VULN|3DUR|2DMG|3TLV	18aDUR|2BELT|38aTLV|4ZMB|56DMG|78aVULN|8aBPWR|9RCR
2	36311 25322	5	   	282.25	DCR|3VULN|3DUR|2DMG|1TLV	18aDUR|2BELT|38aZMB|4TLV|56DMG|78aVULN|8aBPWR|9RCR
3	36311 45222	5	   	282.15	DCR|3VULN|3DUR|2DMG|1TLV	16aDUR|2BELT|3aZMB|4TLV|56DMG|6aBPWR|78aVULN|9RCR
4	36621 25222	5	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aDUR|2BELT|3aTLV|4ZMB|56DMG|78aVULN|9RCR|aBPWR
5	33246 22215	8	 * 	275.11	DCR|4VULN|3DUR|3CDMG|1AART	179DUR|2AART|3RCVC|4MLV|579CDMG|679aVULN|79BPWR|8RCR
6	33256 22215	8	   	275.11	DCR|4VULN|3DUR|3CDMG|1AART	179DUR|2AART|3RCVC|4CGEN|579CDMG|679aVULN|79BPWR|8RCR
7	33346 22215	8	   	275.11	DCR|4VULN|3DUR|3CDMG|1AART	179DUR|2AART|3DMSP|4MLV|579CDMG|679aVULN|79BPWR|8RCR
8	33356 22215	8	   	275.11	DCR|4VULN|3DUR|3CDMG|1AART	179DUR|2AART|3DMSP|4CGEN|579CDMG|679aVULN|79BPWR|8RCR
9	33543 22215	8	   	275.01	DCR|4VULN|3DUR|3CDMG|1AART	179DUR|2AART|3ERES|479CDMG|5RCVC|679aVULN|79BPWR|8RCR
10	31356 33622	2	 * 	274.37	DCR|4VULN|3DUR|1DMG|2LIT	168DUR|28aZMB|3DMG|4aLIT|578aVULN|8aBPWR|9RCR
11	65241 48322	4	 * 	273.53	DCR|4VULN|3DUR|3TLV	14BELT|258aVULN|3MBVNT|68aTLV|78aDUR|8aBPWR|9RCR
12	33144 13362	7	   	270.87	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	17DUR|2AART|367VULN|4RCVC|57TLV|7BPWR|8ASPD|9CDMG|aRCR
13	33146 13362	7	   	270.87	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	17DUR|2AART|357VULN|4RCVC|67TLV|7BPWR|8ASPD|9CDMG|aRCR
14	33224 13616	9	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57aVULN|67TLV|7BPWR|8ASPD|9RCR
15	33224 13616	10	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57aVULN|67TLV|7BPWR|8ASPD|9RCR
16	33324 13616	10	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57aVULN|67TLV|7BPWR|8ASPD|9RCR
17	33324 13616	9	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57aVULN|67TLV|7BPWR|8ASPD|9RCR
