0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45112 41132	10	 * 	295.34	DCR|5VULN|3DUR|2DMG	18DMG|24689VULN|348DUR|48BPWR|5RCVC|7RPLT|aRCR
2	23112 41131	8	 * 	292.65	DCR|4VULN|3DMG|3DUR	168aVULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9RCR
3	23132 34116	8	 * 	290.03	DCR|4VULN|2TLV|2DUR|1DMG|1AART	1568VULN|2DMG|38DUR|48TLV|7RMIN|8BPWR|9AART|aRCR
4	23132 26635	6	 * 	288.69	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	159VULN|29DMG|3aDUR|4TLV|6RCR|7TBNT|89CDMG|9BPWR
5	23132 61535	6	   	288.69	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	159VULN|29DMG|3aDUR|4TLV|69CDMG|7RCR|8BBNT|9BPWR
6	25443 22132	5	 * 	287.29	DCR|5VULN|2DMG|2CDMG|1DUR	1258aVULN|38CDMG|48DMG|6TBNT|7RCR|8BPWR|9DUR
7	25133 25112	10	 * 	287.08	DCR|4VULN|2DMG|2TLV|2CDMG	128aVULN|3aDUST|48DMG|58CDMG|6RCR|7RCVC|8aBPWR|9aTLV
8	23254 33334	1	 * 	286.42	DCR|4VULN|3DMG|2CDMG|1AART	158aVULN|2AART|3LIT|489DMG|6RCR|78CDMG|8BPWR
9	24132 33563	1	 * 	285.44	ACR|5VULN|3DMG|2DUR|3LIT	1238aVULN|49DUR|5RCR|68aDMG|78aLIT|8aBPWR
10	25132 33563	2	   	285.44	ACR|5VULN|3DMG|2DUR|3LIT	1238aVULN|49DUR|5RCR|68aDMG|78aLIT|8aBPWR
11	23132 36123	10	   	284.75	DCR|4VULN|2DMG|1TLV|1DUR|1AART	1567VULN|29DMG|3DUR|4TLV|8AART|aRCR
12	45132 36123	10	   	284.75	DCR|4VULN|2DMG|1TLV|1DUR|1AART	19DMG|2567VULN|3DUR|4TLV|8AART|aRCR
13	23152 33635	3	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	157VULN|267DMG|37DUR|4BBNT|7BPWR|8TLV|9BEXP|aRCR
14	25162 12142	8	 * 	283.89	DCR|5VULN|3DUR|1TLV	12578VULN|3DUST|478DUR|678CGEN|78BPWR|9TLV|aRCR
15	25362 12142	8	   	283.89	DCR|5VULN|3DUR|1TLV	12578VULN|3LEGI|478DUR|678CGEN|78BPWR|9TLV|aRCR
16	23132 26636	6	   	283.76	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR|1AART	159VULN|29DMG|3DUR|4TLV|6RCR|7TBNT|89CDMG|9BPWR|aAART
17	23132 61536	6	   	283.76	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR|1AART	159VULN|29DMG|3DUR|4TLV|69CDMG|7RCR|8BBNT|9BPWR|aAART
18	23132 36351	8	   	283.40	DCR|4VULN|2DMG|1TLV|1DUR	1567VULN|29DMG|3DUR|4TLV|8ASPD|aRCR
