0	Index      	 *	Score 	Summary	Detail	
1	16131 51351	 * 	271.95	橙橙1易伤1等级1矿等1时间1暴击	1双倍矿2赏金邻近3时间4金币生成5暴击69核7矿等8易伤a等级
2	32463 13632	 * 	268.89	橙橙2易伤2时间1暴击	1暴击2金币生成34易伤58时间6a核7雷电9低血量敌人
3	32623 61351	 * 	268.89	橙橙2易伤1等级1暴击	1暴击2金币生成3敌人爆炸4随机矿5赏金塔69核78易伤a等级
4	32633 61351	   	268.79	橙橙2易伤1等级1暴击	1暴击2金币生成3敌人爆炸4掉矿5赏金塔69核78易伤a等级
5	16131 51352	   	259.39	橙橙1易伤1矿等1时间1暴击1技能	1双倍矿2赏金邻近3时间4金币生成5暴击69核7矿等8易伤a技能
6	25221 31366	   	258.19	橙橙2易伤1矿等1全技能	1雷电2赏金塔36易伤4矿等5随机技能7全技能8a核9赏金邻近
7	35312 51351	   	258.09	橙橙1易伤1等级1矿等1暴击	1暴击2随机矿3赏金塔4技能点5掉矿69核7矿等8易伤a等级
8	36353 51322	 * 	257.09	橙5易伤2矿等2暴击	1a暴击2攻速3赏金塔4589a易伤6核7a矿等a序列升级
9	32463 11132	   	256.44	橙橙2易伤1时间1暴击	1暴击2金币生成34易伤5时间6a核7立即金币8雷电9低血量敌人
10	32463 11152	   	256.44	橙橙2易伤1时间1暴击	1暴击2金币生成34易伤5时间6a核7立即金币8雷电9敌人爆炸
11	35463 11132	   	256.44	橙橙2易伤1时间1暴击	1暴击2随机矿34易伤5时间6a核7立即金币8雷电9最后敌人
12	32463 13332	   	256.34	橙橙2易伤1时间1暴击	1暴击2金币生成34易伤5时间6a核7雷电8烈焰减费9低血量敌人
13	32463 13352	   	256.34	橙橙2易伤1时间1暴击	1暴击2金币生成34易伤5时间6a核7雷电8烈焰减费9敌人爆炸
14	32623 61352	   	256.34	橙橙2易伤1暴击1技能	1暴击2金币生成3敌人爆炸4随机矿5赏金塔69核78易伤a技能
15	32633 61352	   	256.24	橙橙2易伤1暴击1技能	1暴击2金币生成3敌人爆炸4掉矿5赏金塔69核78易伤a技能
16	32423 12132	 * 	253.12	橙橙2等级1易伤1暴击	1暴击2金币生成3易伤4随机矿57等级6a核8雷电9低血量敌人
17	32423 12152	   	253.12	橙橙2等级1易伤1暴击	1暴击2金币生成3易伤4随机矿57等级6a核8雷电9敌人爆炸
18	32433 12132	   	253.02	橙橙2等级1易伤1暴击	1暴击2金币生成3易伤4掉矿57等级6a核8雷电9低血量敌人
19	32433 12152	   	253.02	橙橙2等级1易伤1暴击	1暴击2金币生成3易伤4掉矿57等级6a核8雷电9敌人爆炸
20	35353 51322	   	250.15	橙5易伤2矿等2暴击	1a暴击2随机矿3赏金塔4589a易伤6核7a矿等a序列升级
21	22211 14236	   	249.49	橙橙1易伤1等级1暴击1卖塔	1雷电2卖塔3平台4易伤5等级6攻速7额外掉落8a核9暴击
22	15613 51123	 * 	249.25	橙2易伤2伤害2矿等1等级1全技能1卖塔	1双倍矿2卖塔3全技能49矿等59易伤6双倍秒伤7核89伤害9序列升级a等级
23	51633 34111	 * 	247.50	橙2易伤2伤害2时间1等级1全技能	1全技能25时间36易伤46伤害6序列升级7双倍秒伤8等级9赏金塔a核
24	16131 51353	   	245.74	橙橙1易伤1矿等1时间1暴击	1双倍矿2赏金邻近3时间4金币生成5暴击69核7矿等8易伤a基地爆炸
25	35312 51352	   	245.54	橙橙1易伤1矿等1技能1暴击	1暴击2随机矿3赏金塔4技能点5掉矿69核7矿等8易伤a技能
26	32423 11132	   	242.79	橙橙1易伤1等级1暴击	1暴击2金币生成3易伤4随机矿5等级6a核7立即金币8雷电9低血量敌人
27	32423 11152	   	242.79	橙橙1易伤1等级1暴击	1暴击2金币生成3易伤4随机矿5等级6a核7立即金币8雷电9敌人爆炸
28	32461 11132	   	242.69	橙橙2易伤1暴击	1暴击2金币生成34易伤5雷电减费6a核7立即金币8雷电9低血量敌人
29	35461 11132	   	242.69	橙橙2易伤1暴击	1暴击2随机矿34易伤5雷电减费6a核7立即金币8雷电9低血量敌人
30	32433 11132	   	242.69	橙橙1易伤1等级1暴击	1暴击2金币生成3易伤4掉矿5等级6a核7立即金币8雷电9低血量敌人
31	32433 11152	   	242.69	橙橙1易伤1等级1暴击	1暴击2金币生成3易伤4掉矿5等级6a核7立即金币8雷电9敌人爆炸
32	32623 61353	   	242.69	橙橙2易伤1暴击	1暴击2金币生成3a敌人爆炸4随机矿5赏金塔69核78易伤
33	35222 52351	   	242.69	橙橙1易伤1等级1暴击	1暴击24随机矿3低血量敌人5赏金塔69核7金币生成8易伤a等级
34	32633 61353	   	242.59	橙橙2易伤1暴击	1暴击2金币生成3敌人爆炸4掉矿5赏金塔69核78易伤a基地爆炸
35	35461 13332	   	242.59	橙橙2易伤1暴击	1暴击2随机矿34易伤5雷电减费6a核7雷电8烈焰减费9低血量敌人
36	11633 11162	   	242.59	橙橙1易伤2时间1暴击	1双倍矿2挖尘3金币生成4暴击57时间6a核8雷电9易伤
37	22211 34236	   	242.55	橙橙1易伤1等级1技能1暴击1卖塔	1雷电2卖塔3平台4易伤5等级6技能7额外掉落8a核9暴击
38	35312 52351	   	242.49	橙橙1易伤1等级1暴击	1暴击2随机矿3赏金塔4技能点5掉矿69核7金币生成8易伤a等级
39	31522 62631	 * 	242.21	橙橙2伤害2暴击1时间	19暴击2平台3双倍秒伤4时间59雷电68核79伤害9序列升级a双倍矿
40	31522 62633	   	242.21	橙橙2伤害2暴击1时间	19暴击2平台3双倍秒伤4时间59雷电68核79伤害9序列升级a随机技能
41	31522 62632	   	242.11	橙橙2伤害2暴击1时间	19暴击2平台3双倍秒伤4时间59雷电68核79伤害9序列升级a爆破对冰
