0	Index      	 *	Score 	Summary	Detail	
1	14326 23122	 * 	288.69	橙橙2等级1易伤1暴击	1赏金塔2烈焰减费3全技能4暴击58等级6随机技能7a核9易伤
2	53552 23212	 * 	283.37	橙橙2伤害1等级1易伤	18伤害2敌人爆炸3金币生成4雷电5额外掉落6等级79核a易伤
3	35256 33222	 * 	281.79	橙橙3易伤3时间1卖塔	127时间357易伤47雷电6赏金塔7序列升级8a核9卖塔
4	53552 23211	 * 	281.31	橙橙3伤害2等级	18a伤害2a敌人爆炸3金币生成4雷电5额外掉落6a等级79核a序列升级
5	14326 23322	   	281.13	橙橙1易伤1等级2随机技能1暴击	1赏金塔2烈焰减费3全技能4暴击5等级68随机技能7a核9易伤
6	35124 61115	 * 	278.13	紫橙2易伤1等级1矿等2时间	12时间3加一4a易伤56核7矿等8挖尘9等级
7	35124 61315	   	278.13	紫橙2易伤1等级1矿等2时间	12时间3加一4a易伤56核7矿等8基地爆炸9等级
8	35124 61644	 * 	277.83	紫橙2矿等1等级1易伤2时间	12时间3加一4易伤56核79矿等8最后敌人a等级
9	35124 61117	   	277.73	紫橙2矿等1等级1易伤2时间	12时间3加一4易伤56核7a矿等8挖尘9等级
10	35124 61317	   	277.73	紫橙2矿等1等级1易伤2时间	12时间3加一4易伤56核7a矿等8基地爆炸9等级
11	53626 12123	 * 	274.89	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a时间
12	51626 12123	   	274.79	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a时间
13	14326 23422	   	274.52	橙橙1易伤1等级1暴击	1赏金塔2烈焰减费3全技能4暴击5等级6随机技能7a核8立即金币9易伤
14	23131 33554	 * 	271.01	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a随机技能
15	14315 23142	 * 	271.01	橙橙1等级1矿等1暴击	1赏金塔2烈焰减费3全技能4矿等5暴击6随机技能7a核8等级9金币生成
16	23131 33445	 * 	270.85	橙3易伤2等级1矿等1暴击	1挖尘29敌人爆炸3暴击4时间59a易伤6矿等7核89等级9序列升级
17	53623 12124	 * 	270.50	橙2易伤3攻速2伤害1矿等	19伤害2敌人爆炸359攻速49易伤6核7双倍秒伤8全技能9序列升级a矿等
18	51623 12124	   	270.40	橙2易伤3攻速2伤害1矿等	19伤害2挖尘359攻速49易伤6核7双倍秒伤8全技能9序列升级a矿等
19	35124 61614	   	268.92	紫橙1等级1易伤1矿等1技能2时间	12时间3加一4易伤56核7矿等8最后敌人9等级a技能
20	53626 11122	 * 	268.34	橙3易伤2伤害1等级1攻速	15伤害2敌人爆炸3攻速458易伤5序列升级6核7时间9赏金塔a等级
21	51626 11122	   	268.24	橙3易伤2伤害1等级1攻速	15伤害2挖尘3攻速458易伤5序列升级6核7时间9赏金塔a等级
22	53626 11112	   	268.24	橙3易伤2伤害1等级1攻速	15伤害2敌人爆炸3攻速458易伤5序列升级6核7时间9基地爆炸a等级
23	51626 11112	   	268.14	橙3易伤2伤害1等级1攻速	15伤害2挖尘3攻速458易伤5序列升级6核7时间9基地爆炸a等级
24	15124 23522	   	267.48	橙橙1等级1易伤1暴击	1赏金塔2易伤3暴击4立即金币5全技能6暴雪减费7a核8等级9加一
25	62124 23522	   	267.48	橙橙1等级1易伤1暴击	1暴击2易伤3赏金塔4立即金币5全技能6暴雪减费7a核8等级9加一
26	53626 12121	   	266.58	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a最后敌人
27	51626 12121	   	266.48	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a最后敌人
28	53626 12122	   	266.48	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a烈焰减费
29	51626 12122	   	266.38	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a烈焰减费
30	53552 23312	   	265.68	橙橙1等级1易伤1伤害	1伤害2敌人爆炸3金币生成4雷电5额外掉落6等级79核8火球减费a易伤
31	23131 33551	   	264.07	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a技能点
32	23131 33552	   	264.07	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a金币生成
33	53623 12126	 * 	264.05	橙3易伤3攻速2伤害	19伤害2敌人爆炸359攻速49a易伤6核7双倍秒伤8全技能9序列升级
34	23131 33553	   	263.97	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a基地爆炸
35	23131 33555	   	263.97	橙橙1易伤1矿等1暴击1挖怪	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a挖怪
