0	Index      	 *	Score 	Summary	Detail	
1	35521 15323	 * 	296.23	橙橙1易伤1等级1伤害1技能1暴击	1伤害2等级3易伤4加一5敌人爆炸6a核7技能8暴击9低血量敌人
2	53263 12233	 * 	282.52	橙橙1易伤1等级1矿等	1双倍秒伤2矿等3赏金塔4赏金邻近5全技能6敌人爆炸7等级8易伤9a核
3	53246 13333	 * 	275.28	橙3易伤2矿等1等级2时间	1双倍秒伤27矿等3赏金塔4基地爆炸578易伤67时间7序列升级9核a等级
4	32312 31231	   	274.09	橙橙1易伤1等级1伤害	1伤害2敌人爆炸3时间4雷电5随机矿6等级79核8最后敌人a易伤
5	34322 31231	   	274.09	橙橙1易伤1等级1伤害	1伤害2雷电3时间4最后敌人5随机矿6等级79核8低血量敌人a易伤
6	31312 31231	   	273.99	橙橙1易伤1等级1伤害	1伤害2挖尘3时间4雷电5随机矿6等级79核8最后敌人a易伤
7	34262 31231	   	273.99	橙橙1易伤1等级1伤害	1伤害2雷电3挖青4时间5随机矿6等级79核8最后敌人a易伤
8	34342 31231	   	273.99	橙橙1易伤1等级1伤害	1伤害2雷电3时间4基地爆炸5随机矿6等级79核8最后敌人a易伤
9	31312 31131	   	273.89	橙橙1易伤1等级1伤害	1伤害2挖尘3时间4雷电5随机矿6等级79核8基地爆炸a易伤
10	35121 15383	   	272.44	橙橙1等级1伤害1技能1暴击	1伤害2等级3最后敌人4加一5敌人爆炸6a核7技能8暴击9时间
11	35521 13523	 * 	272.17	橙3易伤2伤害1等级1矿等	1a伤害2等级379易伤4加一5敌人爆炸6核8矿等
12	35524 13523	   	272.07	橙3易伤2伤害1等级1矿等	1a伤害2等级379易伤4加一5挖尘6核8矿等
13	33622 61262	   	271.88	橙3易伤1等级1伤害1技能1暴击	1伤害28a易伤3全技能4等级5暴击6随机技能7核9技能
14	33622 52114	   	270.75	橙2易伤1等级1矿等1伤害1攻速1暴击	1伤害27易伤3全技能4等级5暴击6攻速8平台9矿等a核
15	33224 58181	 * 	268.10	橙橙2易伤1伤害	1伤害25易伤3a金币生成4加一69核7全技能8策反
16	33224 58182	   	268.10	橙橙2易伤1伤害	1伤害25易伤3金币生成4加一69核7全技能8策反a最后敌人
17	33224 58183	   	268.10	橙橙2易伤1伤害	1伤害25易伤3金币生成4加一69核7全技能8策反a额外掉落
18	33224 58184	   	268.10	橙橙2易伤1伤害	1伤害25易伤3金币生成4加一69核7全技能8策反a低血量敌人
19	25363 51333	   	266.56	橙3易伤1等级1矿等1技能2时间	18a易伤2技能38时间4矿等5金币生成68雷电7核8序列升级9等级
20	25362 51333	   	266.46	橙3易伤1等级1矿等1技能2时间	18a易伤2技能38时间4矿等5掉矿68雷电7核8序列升级9等级
