0	Index      	 *	Score 	Summary	Detail	
1	15212 34132	 * 	308.30	DCR|3VULN|3TLV|3DUR|1MLV|1CDMG	179DUR|279VULN|3MLV|4CDMG|579TLV|6TBNT|79BPWR|8BBNT|aRCR
2	15221 13635	 * 	303.79	DCR|5VULN|3MLV|1TLV|3DUR	178DUR|25678VULN|367MLV|4DMSP|678BPWR|9TLV|aRCR
3	16452 12312	 * 	303.66	DCR|2VULN|2TLV|1LIT|1MLV|1DMG|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9CGEN|aDMG
4	16452 12321	   	297.25	DCR|2VULN|2TLV|1LIT|1MLV|2DUR|1CDMG	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9LHND|aCDMG
5	16452 12331	   	297.15	DCR|2VULN|2TLV|1LIT|1MLV|2DUR|1CDMG	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9DUST|aCDMG
6	16452 12313	   	291.90	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9CGEN|aAART
7	16452 12322	   	289.15	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9LHND|aTBNT
8	16452 12332	   	289.05	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9DUST|aTBNT
9	16452 12323	   	283.60	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9LHND|aCGEN
10	16452 12311	   	283.50	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9CGEN|aMDPS
11	16452 12333	   	283.50	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17DUR|2MLV|3BELT|47TLV|57VULN|6RCR|7BPWR|8LIT|9DUST|aCGEN
12	62212 13616	   	279.23	DCR|3VULN|3TLV|3DUR|1MLV	1DMSP|247DUR|367TLV|567VULN|67BPWR|8MLV|9ERES|aRCR
13	15535 11232	 * 	279.22	DCR|3VULN|1TLV|1LIT|3DUR|1DMG	178DUR|267VULN|3DMG|4TLV|57CGEN|7BPWR|9LIT|aRCR
