0	Index      	 *	Score 	Summary	Detail	
1	11142 66312	 * 	300.44	DCR|DCR|3VULN|1TLV|1CDMG|1SELL	1FEWX|2CDMG|3SELL|48aVULN|5MDPS|69RCR|7TLV
2	33152 56211	 * 	293.82	ACR|DCR|2VULN|2TLV|2MLV	1AAC|2aCGEN|3MDPS|48MLV|59RCR|6aVULN|7aTLV|aBPWR
3	25511 32234	 * 	289.84	DCR|2VULN|2TLV|2DMG|1LIT|1RPLT	1ERES|2aVULN|3RPLT|4BEXP|5LHND|6aDMG|7RCR|8LIT|9aTLV|aBPWR
4	42226 13423	 * 	286.28	DCR|2VULN|2TLV|2LIT|1MLV	1RCVC|2RMIN|35TLV|45LIT|5BPWR|68VULN|7DUST|9RCR|aMLV
5	62226 13423	   	286.28	DCR|2VULN|2TLV|2LIT|1MLV	1DMSP|2RMIN|35TLV|45LIT|5BPWR|68VULN|7DUST|9RCR|aMLV
6	32415 74331	 * 	285.03	DCR|2VULN|2TLV|2MLV|1DMG	1AAC|27MLV|3MBVNT|47VULN|5RPLT|67TLV|7BPWR|8BBNT|9DMG|aRCR
7	33152 56111	   	280.78	ACR|DCR|2VULN|2TLV|1MLV	18AAC|2aCGEN|3MDPS|4MLV|59RCR|6aVULN|7aTLV|aBPWR
8	41332 23133	   	279.05	DCR|2VULN|2LIT|1TLV|1RPLT|2DUR	1RCVC|29DUR|3RPLT|4ERES|59LIT|69VULN|7BBNT|8RCR|9BPWR|aTLV
9	61332 23133	   	279.05	DCR|2VULN|2LIT|1TLV|1RPLT|2DUR	1DMSP|29DUR|3RPLT|4ERES|59LIT|69VULN|7BBNT|8RCR|9BPWR|aTLV
10	25553 32133	   	278.95	DCR|2VULN|2LIT|1TLV|1RPLT|2DUR	19ERES|25VULN|3RPLT|4BBNT|69LIT|79DUR|8RCR|9BPWR|aTLV
11	11142 66313	 * 	278.30	DCR|DCR|2VULN|1TLV|1CDMG|1SELL	1FEWX|2CDMG|3SELL|48VULN|5MDPS|69RCR|7TLV|aLHND
12	11142 66311	 * 	278.20	DCR|DCR|2VULN|1TLV|1CDMG|1SELL	1FEWX|2CDMG|3SELL|48VULN|5MDPS|69RCR|7TLV|aLSRHEA
13	42226 12632	   	278.14	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|2RMIN|35TLV|45LIT|5BPWR|6VULN|7DUR|8RCR|9RPLT|aMLV
14	62226 12632	   	278.14	DCR|2TLV|2LIT|1VULN|1MLV	1DMSP|2RMIN|35TLV|45LIT|5BPWR|6VULN|7DUR|8RCR|9RPLT|aMLV
15	42226 11133	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1RCVC|2RMIN|35TLV|45LIT|5BPWR|6VULN|7CDMG|8LWND|9RCR|aMLV
16	42226 31233	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1RCVC|2RMIN|35TLV|45LIT|5BPWR|6LHND|7CDMG|8VULN|9RCR|aMLV
17	62226 11133	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1DMSP|2RMIN|35TLV|45LIT|5BPWR|6VULN|7CDMG|8LWND|9RCR|aMLV
18	62226 31233	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1DMSP|2RMIN|35TLV|45LIT|5BPWR|6LHND|7CDMG|8VULN|9RCR|aMLV
19	43111 11362	   	273.73	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1RCVC|23LIT|4MLV|58TLV|6VULN|7CDMG|9LHND|aRCR
20	63111 11362	   	273.73	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1DMSP|23LIT|4MLV|58TLV|6VULN|7CDMG|9LHND|aRCR
21	43432 43133	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1RCVC|2aLIT|3MLV|4AME|59TLV|6CDMG|7RCR|8VULN
22	63432 43133	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1DMSP|2aLIT|3MLV|4AME|59TLV|6CDMG|7RCR|8VULN
23	25533 32234	   	271.95	DCR|2VULN|2TLV|1LIT|1DMG|1RPLT	14aERES|2aVULN|3RPLT|5MDPS|6DMG|7RCR|8LIT|9aTLV|aBPWR
