0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 12663	4	 * 	289.14	橙3易伤2伤害2时间1等级1攻速	1低血量敌人25a易伤3雷电4攻速6a时间7等级8核9a伤害a序列升级
2	23342 12663	3	   	284.79	橙3易伤2伤害2时间1等级2雷电	1低血量敌人24a易伤34雷电4a序列升级5策反6a时间7等级8核9a伤害
3	13162 41311	8	 * 	282.83	橙4易伤3时间3攻速	179敌人爆炸259a易伤357时间4立即金币579序列升级679攻速8核
4	12652 61311	8	   	282.83	橙4易伤3时间3攻速	137敌人爆炸239攻速379序列升级4立即金币579a易伤679时间8核
5	32652 61311	8	   	282.53	橙4易伤3时间3攻速	137挖尘239攻速379序列升级4立即金币579a易伤679时间8核
6	13162 41312	8	 * 	280.26	橙3易伤3时间3攻速1伤害	179敌人爆炸259易伤357时间4立即金币579序列升级679攻速8核a伤害
7	12652 61312	8	   	280.26	橙3易伤3时间3攻速1伤害	137敌人爆炸239攻速379序列升级4立即金币579易伤679时间8核a伤害
8	32652 61312	8	   	279.96	橙3易伤3时间3攻速1伤害	137挖尘239攻速379序列升级4立即金币579易伤679时间8核a伤害
9	33142 41133	10	 * 	279.86	橙3易伤3时间3攻速2等级	147挖尘25a易伤357时间57a序列升级67a攻速8a等级9核
10	23422 12663	4	   	278.24	橙3易伤2伤害2时间1等级	13低血量敌人23a易伤3a序列升级4雷电5策反6a时间7等级8核9a伤害
11	23432 12663	3	   	278.24	橙3易伤2伤害2时间1等级	13低血量敌人23a易伤3a序列升级4雷电5策反6a时间7等级8核9a伤害
12	23532 12663	2	   	278.14	橙3易伤2伤害2时间1等级	1低血量敌人23a易伤4雷电5策反6a时间7等级8核9a伤害a序列升级
13	13425 31423	8	 * 	276.60	橙4易伤2伤害1时间2雷电	136敌人爆炸2378易伤38序列升级48雷电58伤害9核a时间
14	23322 13663	4	   	272.79	橙3易伤2伤害2时间1攻速	1低血量敌人25a易伤3雷电4攻速6a时间7掉矿8核9a伤害a序列升级
15	22132 12663	2	 * 	272.44	橙2易伤2伤害2时间2攻速1等级	1低血量敌人2a攻速35易伤4雷电6a时间7等级8核9a伤害a序列升级
16	23512 26362	3	 * 	272.29	橙4易伤2时间2等级1暴击	19低血量敌人2569易伤36等级4平台69序列升级7暴击89时间a核
17	13425 63231	7	 * 	271.80	橙5易伤1伤害1等级	13敌人爆炸2367a易伤3序列升级4雷电5伤害8等级9核
18	33142 43134	5	 * 	271.14	橙5易伤3时间	147挖尘25678易伤357时间57序列升级9最后敌人a核
19	23324 12663	4	   	268.78	橙2易伤2伤害2时间1等级2雷电1攻速	1低血量敌人2a易伤35雷电4攻速6a时间7等级8核9a伤害a序列升级
20	23132 63663	2	 * 	268.52	橙3易伤2伤害2攻速1时间	1低血量敌人25a易伤3矿等4雷电6a攻速7时间8核9a伤害a序列升级
21	23162 41314	8	   	268.50	橙3易伤3时间3攻速	179低血量敌人259易伤357时间4立即金币579序列升级679攻速8核a雷电
22	23342 13663	3	   	268.44	橙3易伤2伤害2时间2雷电	1低血量敌人24a易伤34雷电4a序列升级5策反6a时间7掉矿8核9a伤害
23	23232 63663	2	   	268.42	橙3易伤2伤害2攻速1时间	1低血量敌人25a易伤3掉矿4雷电6a攻速7时间8核9a伤害a序列升级
24	22123 13663	5	 * 	267.38	橙2易伤2伤害3攻速1等级1时间	1低血量敌人25a攻速3等级4雷电6a易伤7时间8核9a伤害a序列升级
25	22123 23663	6	   	267.38	橙2易伤2伤害3攻速1等级1时间	1低血量敌人25a攻速3等级4雷电6a易伤7时间8核9a伤害a序列升级
26	22123 23663	7	   	267.38	橙2易伤2伤害3攻速1等级1时间	1低血量敌人25a攻速3等级4雷电6a易伤7时间8核9a伤害a序列升级
27	33142 41131	10	   	266.42	橙3易伤3时间2攻速1等级	147挖尘25a易伤357时间57序列升级67攻速8等级9核
28	13424 23131	8	   	266.32	橙5易伤2时间	13敌人爆炸2378a易伤3序列升级4雷电56时间9核
29	13443 13261	7	 * 	265.55	橙4易伤2伤害2等级	135敌人爆炸235a易伤35a序列升级4随机矿6金币生成7核8a等级9a伤害
30	33443 13261	7	   	265.25	橙4易伤2伤害2等级	135挖尘235a易伤35a序列升级4随机矿6金币生成7核8a等级9a伤害
31	13425 63332	7	   	265.21	橙5易伤1伤害1全技能	13敌人爆炸23679易伤3序列升级4雷电5伤害8全技能a核
32	13425 63332	8	   	265.21	橙5易伤1伤害1全技能	13敌人爆炸23679易伤3序列升级4雷电5伤害8全技能a核
33	22121 13663	4	   	264.41	橙2易伤2伤害2攻速1等级1时间2雷电	1低血量敌人2a攻速3等级45雷电6a易伤7时间8核9a伤害a序列升级
34	22131 13663	3	   	264.41	橙2易伤2伤害2攻速1等级1时间2雷电	1低血量敌人2a攻速3等级45雷电6a易伤7时间8核9a伤害a序列升级
35	13162 41362	10	   	264.12	橙3易伤3时间2攻速1暴击	17敌人爆炸259易伤357时间4立即金币57序列升级67攻速8核a暴击
36	23162 41362	10	   	264.12	橙3易伤3时间2攻速1暴击	17低血量敌人259易伤357时间4立即金币57序列升级67攻速8核a暴击
37	23424 36332	8	   	263.66	橙3易伤2伤害1时间1等级	137低血量敌人237易伤37序列升级4雷电5时间67伤害8等级9平台a核
38	26132 12663	2	   	263.36	橙3易伤2伤害1时间1等级	1低血量敌人29伤害35a易伤4雷电6时间7等级8核
39	26132 12663	1	   	263.36	橙3易伤2伤害1时间1等级	1低血量敌人29伤害35a易伤4雷电6时间7等级8核
40	33425 61112	9	   	263.06	橙4易伤2伤害1全技能	136挖尘2379易伤36序列升级4雷电56伤害8全技能a核
41	13443 25112	7	   	262.90	橙4易伤3时间1攻速	135敌人爆炸2359易伤359序列升级4随机矿689时间7核a攻速
42	33142 33151	5	   	262.60	橙4易伤3时间1攻速	147挖尘2578易伤357时间57序列升级6立即金币9攻速a核
43	33142 43251	5	   	262.60	橙4易伤3时间1攻速	147挖尘2567易伤357时间57序列升级8攻速9立即金币a核
